result_id,claim,dataset,split,metric,method,value,unit,ci95_low,ci95_high,uncertainty,artifact_source,classification,note
R097,Top-2 policy audit,ARC1,test,committed_top2_accuracy,M1,0.455,fraction,,,,results/top2_policy_audit/top2_policy_summary.csv,NEGATIVE,
R098,Top-2 policy audit,ARC1,test,committed_top2_accuracy,M1+M2,0.44,fraction,,,,results/top2_policy_audit/top2_policy_summary.csv,NEGATIVE,
R099,Top-2 policy audit,ARC1,test,committed_top2_accuracy,M1+M2+M3,0.44,fraction,,,,results/top2_policy_audit/top2_policy_summary.csv,NEGATIVE,
R100,Top-2 policy audit,ARC1,dev,different_shape_runner_up_found,shape hedge,0,rankings,,,,results/top2_policy_audit/top2_policy_summary.csv,NEGATIVE,0 of 402 eligible rankings
R101,Top-2 policy audit,ARC1,dev,shape_hedged_top2_before,M2/M3,0.4375,fraction,,,,results/top2_policy_audit/top2_policy_summary.csv,NEGATIVE,
R102,Top-2 policy audit,ARC1,dev,shape_hedged_top2_after,M2/M3,0.4275,fraction,,,,results/top2_policy_audit/top2_policy_summary.csv,NEGATIVE,
R103,Compute-matched audit,ARC1,all,mean_rank1_accuracy,B1 k=50,0.40475,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R104,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1 k=50,0.40375,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R105,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1+M2 k=50,0.40375,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R106,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1+M2+M3 k=50,0.40375,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R107,Compute-matched audit,ARC1,all,mean_rank1_accuracy,B1 k=250,0.405,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R108,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1 k=250,0.4065,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R109,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1+M2 k=250,0.405,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R110,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1+M2+M3 k=250,0.405,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R111,Compute-matched audit,ARC1,all,mean_rank1_accuracy,B1 k=1000,0.4035,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R112,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1 k=1000,0.4035,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R113,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1+M2 k=1000,0.4125,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R114,Compute-matched audit,ARC1,all,mean_rank1_accuracy,M1+M2+M3 k=1000,0.4125,fraction,,,,results/compute_matched_q_audit/compute_matched_q_audit.csv,SECONDARY,IMPLEMENTATION CORRECT; no Q/full-orbit leakage
R115,Selective prediction,ARC1,test,AURC,structural_defect,0.31586167853807995,area,0.24680880147422518,0.3948521220258649,"10,000 puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,PRIMARY,
R116,Selective prediction,ARC1,test,expected_random_AURC,random,0.5975,area,,,,results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,PRIMARY,
R117,Selective prediction,ARC1,test,AURC_delta_vs_random,structural_defect,-0.28163832146191997,area,-0.3096076300081239,-0.2463203774253707,"10,000 paired puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,PRIMARY,
R118,Selective prediction,ARC1,test,retained_accuracy,structural_defect coverage=0.25,0.88,fraction,0.78,0.98,"10,000 puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,PRIMARY,
R119,Selective prediction,ARC1,test,retained_accuracy,structural_defect coverage=0.5,0.63,fraction,0.52,0.74,"10,000 puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,PRIMARY,
R120,Selective prediction,ARC1,test,retained_accuracy,structural_defect coverage=0.75,0.49,fraction,0.4066666666666667,0.5733333333333334,"10,000 puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,PRIMARY,
R121,Selective prediction,ARC1,test,retained_accuracy,structural_defect coverage=1.0,0.4025,fraction,0.335,0.4725,"10,000 puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,PRIMARY,
R122,Confidence baseline comparison,ARC1,test,AURC,structural_defect,0.31586167853807995,area,,,,results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,
R123,Confidence baseline comparison,ARC1,test,AURC,vote_margin,0.2607539081534486,area,,,,results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,
R124,Confidence baseline comparison,ARC1,test,AURC,vote_share,0.26206564698082846,area,,,,results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,
R125,Confidence baseline comparison,ARC1,test,AURC,vote_entropy,0.2776887416829336,area,,,,results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,
R126,Confidence baseline comparison,ARC1,test,AURC,winner_mean_Q,0.3127768181492204,area,,,,results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,
R127,Confidence baseline comparison,ARC1,test,defect_minus_baseline_AURC,vote_margin,0.05510777038463133,area,0.02703551869187188,0.08649194590784394,"10,000 paired puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,positive means structural defect is worse
R128,Confidence baseline comparison,ARC1,test,defect_minus_baseline_AURC,vote_share,0.05379603155725149,area,0.025594280662340593,0.08507348759741762,"10,000 paired puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,positive means structural defect is worse
R129,Confidence baseline comparison,ARC1,test,defect_minus_baseline_AURC,vote_entropy,0.03817293685514633,area,0.008445785063642137,0.0704103186743909,"10,000 paired puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,positive means structural defect is worse
R130,Confidence baseline comparison,ARC1,test,defect_minus_baseline_AURC,winner_mean_Q,0.0030848603888595227,area,-0.03849454231179205,0.04444328644283999,"10,000 paired puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,NEGATIVE,positive means structural defect is worse
R131,Puzzle-ID blanking ablation,ARC1 blank-ID,all,B1_accuracy,B1,0.035,fraction,,,,results/arc1_blank_ablation/analysis_report.json,ABLATION,retained-prediction evaluation
R132,Puzzle-ID blanking ablation,ARC1 blank-ID,test,rank1_accuracy,B1,0.04,fraction,,,,results/arc1_blank_ablation/frozen_method_results.csv,ABLATION,
R133,Puzzle-ID blanking ablation,ARC1 blank-ID,test,rank1_accuracy,M1,0.04,fraction,,,,results/arc1_blank_ablation/frozen_method_results.csv,ABLATION,
R134,Puzzle-ID blanking ablation,ARC1 blank-ID,test,rank1_accuracy,M1+M2,0.045,fraction,,,,results/arc1_blank_ablation/frozen_method_results.csv,ABLATION,
R135,Puzzle-ID blanking ablation,ARC1 blank-ID,test,rank1_accuracy,M1+M2+M3,0.05,fraction,,,,results/arc1_blank_ablation/frozen_method_results.csv,ABLATION,
R136,Puzzle-ID blanking ablation,ARC1 normal,test,B1_accuracy,B1,0.4025,fraction,,,,results/arc1_main/main_test_results.csv,ABLATION,
R137,Puzzle-ID blanking ablation,ARC1 blank-ID,test,blank_minus_normal_B1,B1,-0.3625,fraction,-0.43,-0.295,"10,000 paired puzzle bootstrap",results/arc1_blank_ablation/paired_bootstrap_cis.csv,ABLATION,two-sided p-style=0.00019998
R138,Puzzle-ID blanking ablation,ARC1 normal,test,candidate_coverage,orbit,0.6175,fraction,,,,results/arc1_main/coverage_conditioned_results.csv,ABLATION,
R139,Puzzle-ID blanking ablation,ARC1 blank-ID,test,candidate_coverage,orbit,0.1025,fraction,,,,results/arc1_blank_ablation/frozen_method_results.csv,ABLATION,
R140,Blank-ID selective prediction,ARC1 blank-ID,test,defect_AURC,structural_defect,0.922868554959021,area,0.8594246481700603,0.9773523396824799,"10,000 puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,CAVEATED,
R141,Blank-ID selective prediction,ARC1 blank-ID,test,defect_minus_random_AURC,structural_defect,-0.03713144504097898,area,-0.08017539343748889,-0.0031207315016965487,"10,000 paired puzzle bootstrap",results/risk_coverage_bootstrap/risk_coverage_bootstrap_summary.json,CAVEATED,eight puzzle-equivalent correct outcomes
R142,ARC2 supporting evaluation,ARC2,all,puzzle_count,pinned path,120,puzzles,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R143,ARC2 supporting evaluation,ARC2,all,descriptor_count,pinned path,172,descriptors,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R144,ARC2 supporting evaluation,ARC2,all,candidate_count,pinned path,170393,emissions,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R145,ARC2 supporting evaluation,ARC2,all,invalid_prediction_count,pinned path,188,emissions,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R146,ARC2 supporting evaluation,ARC2,all,pinned_upstream_pass_at_1,pinned path,0.029166666666666667,fraction,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R147,ARC2 supporting evaluation,ARC2,all,online_B1,pinned path,0.029166666666666667,fraction,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R148,ARC2 supporting evaluation,ARC2,all,cache_B1,pinned path,0.029166666666666667,fraction,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R149,ARC2 supporting evaluation,ARC2,all,pinned_upstream_pass_at_2,pinned path,0.05,fraction,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R150,ARC2 supporting evaluation,ARC2,all,external_reported_accuracy,pinned path,0.062,fraction,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
R151,ARC2 supporting evaluation,ARC2,all,candidate_coverage,pinned path,0.11666666666666667,fraction,,,,results/arc2_supporting/analysis_report.json,SUPPORTING,unresolved external reproduction discrepancy
